Scancode,SPDX-ID,DEPRECATED
Classpath exception to GPL 2.0 or later,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.html
GPL 2.0 or later,GPL-2.0-or-later,
Apache 2.0,Apache-2.0,
GPL 3.0,GPL-3.0,
GPL 3.0 only,GPL-3.0-only,
BSD-3-Clause,BSD-3-Clause,
MIT License,MIT,
Public Domain,,
AGPL 3.0 or later,AGPL-3.0-or-later,
,,
MPL 2.0,MPL-2.0,
EPL 2.0,EPL-2.0,	
LGPL 3.0 or later,LGPL-3.0-or-later,
unknown,unknown
,,
,,
Still not found in projects,,
GPL 2.0 only,GPL-2.0-only,
,,
GPL 3.0 or later,GPL-3.0-or-later,
,,
Public Domain â€“ notes for us,"There are a lot of Public Domain licenses:
PDDL-1.0
SAX-PD
CC-PDDC
libselinux-1.0
NIST-PD
NIST-PD-fallback",
